Person Doing ID,Date,Plot,Site,Replicate,Habitat,replicate,L,N ,A,Field notes,IPAC_L,IPAC_N,IPAC_A ,DEOC_L,DEOC_N,DEOC_A ,DEVA_L,DEVA_N,DEVA_A ,HELP_L,HELP_N,HELP_A,ISPIN_L,ISPIN_N,ISPINA,site,canopy,canopy  %,leaf litter,grass height,Plot.label,nymph_count,infected_nymphs
,4/30/24,CCSP1A-20,CCSP,1,interior,A,20,1,3,,20,1,1,0,0,2,0,0,0,0,0,0,0,0,0,CCSP1A-20,92.6,96.304,4.4,0,CC1A-20,1,0
,4/30/24,CCSP1A0,CCSP,1,edge,A,7,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP1A0,92.8,96.512,3.2,13.8,CC1A0,0,0
,4/30/24,CCSP1A20,CCSP,1,exterior,A,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CCSP1A+20,0,0,0,37,CC1A20,0,0
,5/3/24,CCSP1B-20,CCSP,1,interior,B,12,2,1,,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,CCSP1B-20,88.8,92.352,4,5.6,CC1B-20,2,0
,5/1/24,CCSP1B0,CCSP,1,edge,B,32,1,5,,32,0,0,0,1,5,0,0,0,0,0,0,0,0,0,CCSP1B0,56.8,59.072,5,21.2,CC1B0,1,0
,5/1/24,CCSP1B20,CCSP,1,exterior,B,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CCSP1B+20,0,0,0,26,CC1B20,0,0
,5/7/24,CCSP2A-20,CCSP,2,interior,A,3,4,0,,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP2A-20,88,91.52,5,0,CC2A-20,4,0
,5/7/24,CCSP2A0,CCSP,2,edge,A,4,0,0,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP2A0,55,57.2,3.6,30.6,CC2A0,0,0
,5/7/24,CCSP2A20,CCSP,2,exterior,A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP2A+20,0,0,0,35.8,CC2A20,0,0
,5/8/24,CCSP2B-20,CCSP,2,interior,B,4,0,4,,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,CCSP2B-20,79,82.16,3.4,11.6,CC2B-20,0,0
,5/8/24,CCSP2B0,CCSP,2,edge,B,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CCSP2B0,48.6,50.544,1.7,21.2,CC2B0,0,0
,5/8/24,CCSP2B20,CCSP,2,exterior,B,0,0,5,,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,CCSP2B+20,0,0,0,30.8,CC2B20,0,0
,5/10/24,CCSP3A-20,CCSP,3,interior,A,37,6,0,,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP3A-20,92.8,96.512,6.8,0,CC3A-20,6,0
,5/9/24,CCSP3A0,CCSP,3,edge,A,25,0,0,,24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CCSP3A0,63.4,65.936,5.8,27,CC3A0,0,0
,5/9/24,CCSP3A20,CCSP,3,exterior,A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP3A+20,0,0,0,62.2,CC3A20,0,0
,5/14/24,CCSP3B-20,CCSP,3,interior,B,225,13,0,,224,13,0,1,0,0,0,0,0,0,0,0,0,0,0,CCSP3B-20,83.8,87.152,6.4,7,CC3B-20,13,4
,5/14/24,CCSP3B0,CCSP,3,edge,B,80,3,1,,78,3,0,0,0,1,2,0,0,0,0,0,0,0,0,CCSP3B0,37.4,38.896,0.4,25.6,CC3B0,3,0
,5/14/24,CCSP3B20,CCSP,3,exterior,B,0,0,2,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,CCSP3B+20,4.4,4.576,0,48.8,CC3B20,0,0
,5/20/24,CCSP4A-20,CCSP,4,interior,A,124,13,3,,124,13,1,0,0,2,0,0,0,0,0,0,0,0,0,CCSP4A-20,89.6,93.184,5.2,0,CC4A-20,13,0
,5/15/24,CCSP4A0,CCSP,4,edge,A,109,20,5,,109,19,0,0,1,5,0,0,0,0,0,0,0,0,0,CCSP4A0,72.8,75.712,1.6,16,CC4A0,19,1
,5/15/24,CCSP4A20,CCSP,4,exterior,A,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CCSP4A+20,0,0,0,46.4,CC4A20,0,0
,5/17/24,CCSP4B-20,CCSP,4,interior,B,272,10,1,,272,9,0,0,1,0,0,0,0,0,0,1,0,0,0,CCSP4B-20,84.8,88.192,5,0,CC4B-20,9,1
