site,habitat,x,y,canopy,canopy_percent,leaf_litter,grass_height
EW1A+20,grassland,2,10,0,0,0,29
EW1A+20,grassland,1,4,0,0,0,32
EW1A+20,grassland,2,16,0,0,0,20
EW1A+20,grassland,4,16,0,0,0,31
EW1A+20,grassland,3,1,18.7,19.448,0,34
EW1A0,edge,5,20,8,8.32,1,4.5
EW1A0,edge,4,11,59,61.36,0,30
EW1A0,edge,5,7,40,41.6,0,18
EW1A0,edge,4,4,23,23.92,0,15
EW1A0,edge,3,9,96,99.84,1,31
EW1A-20,forest,2,19,94,97.76,10,0
EW1A-20,forest,3,4,96,99.84,8,0
EW1A-20,forest,1,1,92,95.68,6,0
EW1A-20,forest,1,13,96,99.84,9,0
EW1A-20,forest,3,6,95,98.8,4,0
EW1B+20,grassland,3,11,0,0,0,21
EW1B+20,grassland,2,3,0,0,0,51
EW1B+20,grassland,5,20,0,0,0,15
EW1B+20,grassland,2,15,0,0,0,16
EW1B+20,grassland,2,8,0,0,0,24
EW1B0,edge,1,11,79,82.16,1,9
EW1B0,edge,5,5,25,26,0,18
EW1B0,edge,1,3,96,99.84,7,15
EW1B0,edge,3,19,36,37.44,0,34
EW1B0,edge,4,18,4,4.16,0,27
EW1B-20,forest,2,14,91,94.64,4,0
EW1B-20,forest,5,14,89,92.56,5,0
EW1B-20,forest,3,10,90,93.6,9,0
EW1B-20,forest,2,1,89,92.56,2,0
EW1B-20,forest,5,19,94,97.76,3,0
EW1C+20,grassland,4,15,0,0,0,18
EW1C+20,grassland,5,9,0,0,0,20
EW1C+20,grassland,1,6,0,0,0,26
EW1C+20,grassland,4,9,0,0,0,45
EW1C+20,grassland,5,16,0,0,0,40
EW1C0,edge,1,6,20,20.8,1,25
EW1C0,edge,2,15,93,96.72,6,12
EW1C0,edge,5,13,88,91.52,0,26
EW1C0,edge,1,17,16,16.64,8,7
EW1C0,edge,4,8,55,57.2,0,24
EW1C-20,forest,3,1,93,96.72,3,0
EW1C-20,forest,2,15,92,95.68,7,0
EW1C-20,forest,1,13,89,92.56,9,0
EW1C-20,forest,1,3,96,99.84,4,0
EW1C-20,forest,5,18,95,98.8,8,10
EW2A+20,grassland,3,5,0,0,0,45
EW2A+20,grassland,1,11,0,0,0,32
EW2A+20,grassland,2,2,0,0,0,35
EW2A+20,grassland,2,4,0,0,0,30
EW2A+20,grassland,4,5,0,0,0,39
EW2A0,edge,2,15,95,98.8,4,20
EW2A0,edge,1,17,94,97.76,2,25
EW2A0,edge,5,6,0,0,0,26
EW2A0,edge,3,5,6,6.24,0,24
EW2A0,edge,4,6,0,0,0,19
EW2A-20,forest,5,17,92,95.68,2,0
EW2A-20,forest,3,14,96,99.84,3,0
EW2A-20,forest,3,11,89,92.56,10,0
EW2A-20,forest,5,5,96,99.84,4,0
EW2A-20,forest,1,13,93,96.72,3,0
EW2B+20,grassland,3,5,0,0,0,45
EW2B+20,grassland,1,11,0,0,0,32
EW2B+20,grassland,2,2,0,0,0,35
EW2B+20,grassland,2,4,0,0,0,30
EW2B+20,grassland,4,5,0,0,0,39
EW2B0,edge,1,12,95,98.8,8,0
EW2B0,edge,4,3,93,96.72,7,0
EW2B0,edge,3,2,96,99.84,12,0
EW2B0,edge,5,13,94,97.76,2,29
EW2B0,edge,5,5,89,92.56,2.5,30
EW2B-20,forest,1,13,96,99.84,6,0
EW2B-20,forest,4,10,89,92.56,10,0
EW2B-20,forest,3,16,96,99.84,5,0
EW2B-20,forest,2,12,96,99.84,3,0
EW2B-20,forest,3,20,91,94.64,12,0
EW3A+20,grassland,4,7,0,0,0,35
EW3A+20,grassland,1,8,0,0,0,24
EW3A+20,grassland,2,7,0,0,0,19
EW3A+20,grassland,5,8,0,0,0,32
EW3A+20,grassland,3,4,0,0,0,36
EW3A0,edge,3,15,96,99.84,5,18
EW3A0,edge,5,18,3,3.12,0,30
EW3A0,edge,5,7,96,99.84,0,17
EW3A0,edge,4,8,59,61.36,1,0
EW3A0,edge,2,17,96,99.84,4,0
EW3A-20,forest,1,9,91,94.64,11,0
EW3A-20,forest,3,14,91,94.64,11,0
EW3A-20,forest,5,5,91,94.64,9,0
